ThreadId [0] ,  OwnerProcessId [0]
ThreadId [716] ,  OwnerProcessId [176]

ThreadId [720] ,  OwnerProcessId [176]

ThreadId [648] ,  OwnerProcessId [644]

ThreadId [656] ,  OwnerProcessId [644]

ThreadId [680] ,  OwnerProcessId [1020]

ThreadId [1072] ,  OwnerProcessId [1020]

ThreadId [1080] ,  OwnerProcessId [1020]

ThreadId [1084] ,  OwnerProcessId [1020]

ThreadId [1088] ,  OwnerProcessId [1020]

ThreadId [1176] ,  OwnerProcessId [1020]

ThreadId [1204] ,  OwnerProcessId [1020]

ThreadId [1208] ,  OwnerProcessId [1020]

ThreadId [1312] ,  OwnerProcessId [1020]

ThreadId [1832] ,  OwnerProcessId [1020]

ThreadId [3448] ,  OwnerProcessId [1020]

ThreadId [4612] ,  OwnerProcessId [1020]

ThreadId [5520] ,  OwnerProcessId [1020]

ThreadId [4884] ,  OwnerProcessId [1020]

ThreadId [1104] ,  OwnerProcessId [1100]

ThreadId [1248] ,  OwnerProcessId [1100]

ThreadId [1124] ,  OwnerProcessId [1108]

ThreadId [1148] ,  OwnerProcessId [1108]

ThreadId [1156] ,  OwnerProcessId [1108]

ThreadId [1160] ,  OwnerProcessId [1108]

ThreadId [1164] ,  OwnerProcessId [1108]

ThreadId [1216] ,  OwnerProcessId [1108]

ThreadId [1228] ,  OwnerProcessId [1108]

ThreadId [1232] ,  OwnerProcessId [1108]

ThreadId [1612] ,  OwnerProcessId [1108]

ThreadId [1660] ,  OwnerProcessId [1108]

ThreadId [1664] ,  OwnerProcessId [1108]

ThreadId [12204] ,  OwnerProcessId [1108]

ThreadId [12008] ,  OwnerProcessId [1108]

ThreadId [7272] ,  OwnerProcessId [1108]

ThreadId [10504] ,  OwnerProcessId [1108]

ThreadId [18360] ,  OwnerProcessId [1108]

ThreadId [1172] ,  OwnerProcessId [1168]

ThreadId [1636] ,  OwnerProcessId [1168]

ThreadId [4036] ,  OwnerProcessId [1168]

ThreadId [7176] ,  OwnerProcessId [1168]

ThreadId [3896] ,  OwnerProcessId [1168]

ThreadId [1364] ,  OwnerProcessId [1240]

ThreadId [1508] ,  OwnerProcessId [1240]

ThreadId [15316] ,  OwnerProcessId [1240]

ThreadId [3468] ,  OwnerProcessId [1240]

ThreadId [17848] ,  OwnerProcessId [1240]

ThreadId [19984] ,  OwnerProcessId [1240]

ThreadId [1284] ,  OwnerProcessId [1264]

ThreadId [1296] ,  OwnerProcessId [1264]

ThreadId [1300] ,  OwnerProcessId [1264]

ThreadId [1308] ,  OwnerProcessId [1264]

ThreadId [1320] ,  OwnerProcessId [1264]

ThreadId [10288] ,  OwnerProcessId [1264]

ThreadId [3580] ,  OwnerProcessId [1264]

ThreadId [10940] ,  OwnerProcessId [1264]

ThreadId [5028] ,  OwnerProcessId [1264]

ThreadId [1396] ,  OwnerProcessId [1392]

ThreadId [1552] ,  OwnerProcessId [1392]

ThreadId [1628] ,  OwnerProcessId [1392]

ThreadId [5352] ,  OwnerProcessId [1392]

ThreadId [6476] ,  OwnerProcessId [1392]

ThreadId [9672] ,  OwnerProcessId [1392]

ThreadId [9200] ,  OwnerProcessId [1392]

ThreadId [23192] ,  OwnerProcessId [1392]

ThreadId [18500] ,  OwnerProcessId [1392]

ThreadId [15060] ,  OwnerProcessId [1392]

ThreadId [18476] ,  OwnerProcessId [1392]

ThreadId [16920] ,  OwnerProcessId [1392]

ThreadId [20488] ,  OwnerProcessId [1392]

ThreadId [21736] ,  OwnerProcessId [1392]

ThreadId [3388] ,  OwnerProcessId [1392]

ThreadId [4832] ,  OwnerProcessId [1392]

ThreadId [21784] ,  OwnerProcessId [1392]

ThreadId [22768] ,  OwnerProcessId [1392]

ThreadId [23436] ,  OwnerProcessId [1392]

ThreadId [21484] ,  OwnerProcessId [1392]

ThreadId [10952] ,  OwnerProcessId [1392]

ThreadId [22520] ,  OwnerProcessId [1392]

ThreadId [6540] ,  OwnerProcessId [1392]

ThreadId [20752] ,  OwnerProcessId [1392]

ThreadId [1424] ,  OwnerProcessId [1420]

ThreadId [1448] ,  OwnerProcessId [1420]

ThreadId [1452] ,  OwnerProcessId [1420]

ThreadId [1456] ,  OwnerProcessId [1420]

ThreadId [1460] ,  OwnerProcessId [1420]

ThreadId [1432] ,  OwnerProcessId [1428]

ThreadId [1492] ,  OwnerProcessId [1428]

ThreadId [1496] ,  OwnerProcessId [1428]

ThreadId [1500] ,  OwnerProcessId [1428]

ThreadId [1504] ,  OwnerProcessId [1428]

ThreadId [1528] ,  OwnerProcessId [1524]

ThreadId [1560] ,  OwnerProcessId [1524]

ThreadId [1568] ,  OwnerProcessId [1524]

ThreadId [7064] ,  OwnerProcessId [1524]

ThreadId [22548] ,  OwnerProcessId [1524]

ThreadId [20476] ,  OwnerProcessId [1524]

ThreadId [312] ,  OwnerProcessId [1524]

ThreadId [7504] ,  OwnerProcessId [1524]

ThreadId [21880] ,  OwnerProcessId [1524]

ThreadId [6656] ,  OwnerProcessId [1524]

ThreadId [1580] ,  OwnerProcessId [1576]

ThreadId [1600] ,  OwnerProcessId [1576]

ThreadId [14536] ,  OwnerProcessId [1576]

ThreadId [9608] ,  OwnerProcessId [1576]

ThreadId [2168] ,  OwnerProcessId [1576]

ThreadId [1656] ,  OwnerProcessId [1652]

ThreadId [2036] ,  OwnerProcessId [1652]

ThreadId [816] ,  OwnerProcessId [1652]

ThreadId [2224] ,  OwnerProcessId [1652]

ThreadId [2228] ,  OwnerProcessId [1652]

ThreadId [2232] ,  OwnerProcessId [1652]

ThreadId [2236] ,  OwnerProcessId [1652]

ThreadId [2500] ,  OwnerProcessId [1652]

ThreadId [2588] ,  OwnerProcessId [1652]

