Process [0]: ParentProcess [0], Name: [System Process]
Process [10576]: ParentProcess [21980], Name: ServiceHub.Host.AnyCPU.exe

Process [21896]: ParentProcess [21980], Name: ServiceHub.ThreadedWaitDialog.exe

Process [12604]: ParentProcess [21980], Name: ServiceHub.IndexingService.exe

Process [19112]: ParentProcess [21980], Name: ServiceHub.RoslynCodeAnalysisService.exe

Process [8644]: ParentProcess [21980], Name: ServiceHub.Host.dotnet.x64.exe

Process [12140]: ParentProcess [21980], Name: ServiceHub.TestWindowStoreHost.exe

Process [2356]: ParentProcess [21980], Name: ServiceHub.DataWarehouseHost.exe

Process [1852]: ParentProcess [9504], Name: WebViewHost.exe

Process [19272]: ParentProcess [7188], Name: Code.exe

Process [10748]: ParentProcess [19272], Name: Code.exe

Process [9444]: ParentProcess [19272], Name: Code.exe

Process [19516]: ParentProcess [19272], Name: Code.exe

Process [20816]: ParentProcess [19272], Name: Code.exe

Process [6288]: ParentProcess [19272], Name: Code.exe

Process [16896]: ParentProcess [19272], Name: Code.exe

Process [14840]: ParentProcess [19272], Name: Code.exe

Process [21364]: ParentProcess [6288], Name: cpptools.exe

Process [4720]: ParentProcess [21364], Name: conhost.exe

Process [11400]: ParentProcess [21364], Name: cpptools.exe

Process [20436]: ParentProcess [11400], Name: cpptools-srv.exe

Process [10200]: ParentProcess [20436], Name: conhost.exe

Process [16612]: ParentProcess [19272], Name: CodeSetup-stable-d037ac076cee195194f93ce6fe2bdfe2969cc82d.exe

Process [22152]: ParentProcess [16612], Name: CodeSetup-stable-d037ac076cee195194f93ce6fe2bdfe2969cc82d.tmp

Process [10448]: ParentProcess [1012], Name: Discord.exe

Process [2256]: ParentProcess [10448], Name: Discord.exe

Process [23424]: ParentProcess [10448], Name: Discord.exe

Process [14096]: ParentProcess [10448], Name: Discord.exe

Process [18472]: ParentProcess [10448], Name: Discord.exe

Process [17068]: ParentProcess [10448], Name: Discord.exe

Process [18064]: ParentProcess [1240], Name: svchost.exe

Process [8440]: ParentProcess [1240], Name: svchost.exe

Process [4488]: ParentProcess [12376], Name: vcpkgsrv.exe

Process [8720]: ParentProcess [12376], Name: vcpkgsrv.exe

Process [20624]: ParentProcess [12376], Name: vcpkgsrv.exe

Process [19596]: ParentProcess [1852], Name: msedgewebview2.exe

Process [6272]: ParentProcess [19596], Name: msedgewebview2.exe

Process [11316]: ParentProcess [19596], Name: msedgewebview2.exe

Process [22828]: ParentProcess [19596], Name: msedgewebview2.exe

Process [19888]: ParentProcess [19596], Name: msedgewebview2.exe

Process [9984]: ParentProcess [19596], Name: msedgewebview2.exe

Process [22512]: ParentProcess [19596], Name: msedgewebview2.exe

Process [18048]: ParentProcess [19596], Name: msedgewebview2.exe

Process [20308]: ParentProcess [19596], Name: msedgewebview2.exe

Process [17508]: ParentProcess [12376], Name: vcpkgsrv.exe

Process [9524]: ParentProcess [1240], Name: svchost.exe

Process [15968]: ParentProcess [1240], Name: svchost.exe

Process [21776]: ParentProcess [14412], Name: chrome.exe

Process [17264]: ParentProcess [14412], Name: chrome.exe

Process [23236]: ParentProcess [14412], Name: chrome.exe

Process [20924]: ParentProcess [3324], Name: audiodg.exe

Process [4996]: ParentProcess [1240], Name: svchost.exe

Process [21700]: ParentProcess [1392], Name: WmiPrvSE.exe

Process [3792]: ParentProcess [1392], Name: smartscreen.exe

Process [18456]: ParentProcess [7188], Name: Tema3_CSSO_Collect.exe

Process [21440]: ParentProcess [18456], Name: conhost.exe

Process [7152]: ParentProcess [1392], Name: OpenConsole.exe

Process [23248]: ParentProcess [1392], Name: WindowsTerminal.exe

